name,parent
FBtr0086011,FBgn0000546
FBtr0089270,FBgn0010473
FBtr0334703,FBgn0026597
FBtr0085554,FBgn0026597
FBtr0310027,FBgn0003963
FBtr0332869,FBgn0036799
FBtr0078063,FBgn0003963
FBtr0305699,FBgn0010825
FBtr0089269,FBgn0010473
FBtr0083382,FBgn0000015
FBtr0076219,FBgn0036141
FBtr0086010,FBgn0000546
FBtr0078104,FBgn0031217
FBtr0083348,FBgn0003944
FBtr0415464,FBgn0000015
FBtr0084956,FBgn0002732
FBtr0344520,FBgn0036799
FBtr0083739,FBgn0000463
FBtr0086012,FBgn0000546
FBtr0084979,FBgn0002631
FBtr0085825,FBgn0003870
FBtr0332862,FBgn0003997
FBtr0083387,FBgn0000014
FBtr0075202,FBgn0000567
FBtr0332557,FBgn0264442
FBtr0340367,FBgn0265598
FBtr0303228,FBgn0003870
FBtr0075204,FBgn0000567
FBtr0333475,FBgn0026206
FBtr0340363,FBgn0265598
FBtr0342921,FBgn0003896
FBtr0300600,FBgn0026597
FBtr0114453,FBgn0023023
FBtr0076619,FBgn0010825
FBtr0083385,FBgn0000015
FBtr0346764,FBgn0000015
FBtr0085829,FBgn0003870
FBtr0332562,FBgn0264442
FBtr0079005,FBgn0260470
FBtr0301568,FBgn0031099
FBtr0333012,FBgn0003963
FBtr0071303,FBgn0026206
FBtr0080699,FBgn0041713
FBtr0340364,FBgn0265598
FBtr0084723,FBgn0051121
FBtr0347159,FBgn0010473
FBtr0089162,FBgn0085432
FBtr0300994,FBgn0052767
FBtr0085827,FBgn0003870
FBtr0301864,FBgn0010473
FBtr0333473,FBgn0026206
FBtr0075558,FBgn0004396
FBtr0100245,FBgn0085432
FBtr0334702,FBgn0026597
FBtr0075119,FBgn0036786
FBtr0334301,FBgn0085432
FBtr0299645,FBgn0259174
FBtr0085553,FBgn0026597
FBtr0083384,FBgn0000015
FBtr0075133,FBgn0003997
FBtr0305698,FBgn0010825
FBtr0084954,FBgn0002734
FBtr0083350,FBgn0003944
FBtr0083347,FBgn0003944
FBtr0331757,FBgn0052767
FBtr0340365,FBgn0265598
FBtr0084980,FBgn0002629
FBtr0076218,FBgn0036141
FBtr0308615,FBgn0085432
FBtr0300520,FBgn0259174
FBtr0083349,FBgn0003944
FBtr0100555,FBgn0036799
FBtr0077340,FBgn0031099
FBtr0306337,FBgn0000014
FBtr0089685,FBgn0023023
FBtr0300485,FBgn0000014
FBtr0086008,FBgn0000546
FBtr0302119,FBgn0052767
FBtr0333535,FBgn0260470
FBtr0074916,FBgn0020887
FBtr0415465,FBgn0000015
FBtr0299648,FBgn0259174
FBtr0100411,FBgn0000567
FBtr0089268,FBgn0010473
FBtr0305697,FBgn0010825
FBtr0302439,FBgn0000546
FBtr0081973,FBgn0037664
FBtr0079004,FBgn0260470
FBtr0300519,FBgn0259174
FBtr0330709,FBgn0000015
FBtr0333048,FBgn0010825
FBtr0333049,FBgn0010825
FBtr0302118,FBgn0052767
FBtr0082084,FBgn0037731
FBtr0083381,FBgn0000015
FBtr0085830,FBgn0003870
FBtr0084087,FBgn0004862
FBtr0333190,FBgn0037664
FBtr0086301,FBgn0034499
FBtr0085555,FBgn0026597
FBtr0089271,FBgn0010473
FBtr0085482,FBgn0019972
FBtr0076618,FBgn0010825
FBtr0330636,FBgn0031217
FBtr0076616,FBgn0010825
FBtr0331844,FBgn0259174
FBtr0303227,FBgn0003870
FBtr0083740,FBgn0000463
FBtr0078129,FBgn0003444
FBtr0076146,FBgn0003292
FBtr0290030,FBgn0026597
FBtr0345641,FBgn0041713
FBtr0333485,FBgn0010473
FBtr0331758,FBgn0052767
FBtr0100246,FBgn0085432
FBtr0415463,FBgn0000015
FBtr0078059,FBgn0004583
FBtr0075673,FBgn0040487
FBtr0078267,FBgn0011591
FBtr0333013,FBgn0003963
FBtr0075620,FBgn0026320
FBtr0075130,FBgn0015946
FBtr0075370,FBgn0036606
FBtr0333474,FBgn0026206
FBtr0081112,FBgn0003896
FBtr0332561,FBgn0264442
FBtr0085828,FBgn0003870
FBtr0299646,FBgn0259174
FBtr0347158,FBgn0010473
FBtr0071302,FBgn0040467
FBtr0345924,FBgn0031099
FBtr0075203,FBgn0000567
FBtr0331843,FBgn0259174
FBtr0075435,FBgn0044028
FBtr0329832,FBgn0004583
FBtr0333534,FBgn0260470
FBtr0089161,FBgn0085432
FBtr0340366,FBgn0265598
FBtr0301863,FBgn0010473
FBtr0089686,FBgn0023023
FBtr0074602,FBgn0001079
FBtr0083352,FBgn0003944
FBtr0085826,FBgn0003870
FBtr0329895,FBgn0003963
FBtr0299642,FBgn0259174
FBtr0081111,FBgn0003896
FBtr0083388,FBgn0000014
FBtr0084949,FBgn0000206
FBtr0333472,FBgn0040467
FBtr0083383,FBgn0000015
FBtr0089159,FBgn0085432
FBtr0083351,FBgn0003944
FBtr0299647,FBgn0259174
FBtr0340341,FBgn0026206
FBtr0074917,FBgn0020887
FBtr0076123,FBgn0036198
FBtr0078462,FBgn0037116
FBtr0086009,FBgn0000546
FBtr0332560,FBgn0264442
FBtr0084955,FBgn0002735
FBtr0084958,FBgn0002609
FBtr0084724,FBgn0051121
FBtr0305696,FBgn0010825
FBtr0112657,FBgn0085432
FBtr0305796,FBgn0000567
FBtr0300995,FBgn0052767
FBtr0474151,FBgn0026206
FBtr0304658,FBgn0000463
FBtr0075862,FBgn0002573
FBtr0075557,FBgn0004396
FBtr0309803,FBgn0085432
FBtr0332558,FBgn0264442
FBtr0333484,FBgn0010473
FBtr0075120,FBgn0011706
