name,parent,mirna
FBtr0086011,FBgn0000546,dme-miR-14-3p
FBtr0089270,FBgn0010473,dme-miR-1-3p
FBtr0334703,FBgn0026597,dme-miR-315-5p
FBtr0085554,FBgn0026597,dme-miR-315-5p
FBtr0310027,FBgn0003963,dme-miR-8-3p
FBtr0332869,FBgn0036799,dme-miR-318-3p
FBtr0078063,FBgn0003963,dme-miR-8-3p
FBtr0305699,FBgn0010825,dme-miR-8-3p
FBtr0089269,FBgn0010473,dme-miR-1-3p
FBtr0083382,FBgn0000015,dme-miR-iab-8-5p
FBtr0076219,FBgn0036141,dme-miR-8-3p
FBtr0086010,FBgn0000546,dme-miR-14-3p
FBtr0078104,FBgn0031217,dme-miR-1-3p
FBtr0083348,FBgn0003944,dme-miR-iab-4-5p
FBtr0415464,FBgn0000015,dme-miR-iab-8-5p
FBtr0084956,FBgn0002732,dme-miR-79-3p
FBtr0344520,FBgn0036799,dme-miR-318-3p
FBtr0083739,FBgn0000463,dme-miR-1-3p
FBtr0086012,FBgn0000546,dme-miR-14-3p
FBtr0084979,FBgn0002631,dme-miR-79-3p
FBtr0085825,FBgn0003870,dme-miR-312-3p
FBtr0332862,FBgn0003997,dme-bantam-3p
FBtr0083387,FBgn0000014,dme-miR-iab-8-5p
FBtr0075202,FBgn0000567,dme-miR-34-5p
FBtr0332557,FBgn0264442,dme-let-7-5p
FBtr0340367,FBgn0265598,dme-miR-9a-5p
FBtr0303228,FBgn0003870,dme-miR-312-3p
FBtr0075204,FBgn0000567,dme-miR-34-5p
FBtr0333475,FBgn0026206,dme-miR-137-3p
FBtr0340363,FBgn0265598,dme-miR-9a-5p
FBtr0342921,FBgn0003896,dme-miR-278-3p
FBtr0300600,FBgn0026597,dme-miR-315-5p
FBtr0114453,FBgn0023023,dme-miR-287-3p
FBtr0076619,FBgn0010825,dme-miR-8-3p
FBtr0083385,FBgn0000015,dme-miR-iab-8-5p
FBtr0346764,FBgn0000015,dme-miR-iab-8-5p
FBtr0085829,FBgn0003870,dme-miR-312-3p
FBtr0332562,FBgn0264442,dme-let-7-5p
FBtr0079005,FBgn0260470,dme-miR-279-3p
FBtr0301568,FBgn0031099,dme-miR-1-3p
FBtr0333012,FBgn0003963,dme-miR-8-3p
FBtr0071303,FBgn0026206,dme-miR-137-3p
FBtr0080699,FBgn0041713,dme-miR-317-3p
FBtr0340364,FBgn0265598,dme-miR-9a-5p
FBtr0084723,FBgn0051121,dme-miR-1-3p
FBtr0347159,FBgn0010473,dme-miR-1-3p
FBtr0089162,FBgn0085432,dme-miR-8-3p
FBtr0300994,FBgn0052767,dme-miR-8-3p
FBtr0085827,FBgn0003870,dme-miR-312-3p
FBtr0301864,FBgn0010473,dme-miR-1-3p
FBtr0333473,FBgn0026206,dme-miR-137-3p
FBtr0075558,FBgn0004396,dme-miR-92b-3p
FBtr0100245,FBgn0085432,dme-miR-8-3p
FBtr0334702,FBgn0026597,dme-miR-315-5p
FBtr0075119,FBgn0036786,dme-miR-13b-3p
FBtr0334301,FBgn0085432,dme-miR-8-3p
FBtr0299645,FBgn0259174,dme-miR-1-3p
FBtr0085553,FBgn0026597,dme-miR-315-5p
FBtr0083384,FBgn0000015,dme-miR-iab-8-5p
FBtr0075133,FBgn0003997,dme-bantam-3p
FBtr0305698,FBgn0010825,dme-miR-8-3p
